found_at,source,title,url,extra
2026-09-13 21:04 UTC,Corporate Staffing Kenya,"Instructional Designer, Academic Programmes Job Strathmore University Nairobi, Kenya",https://www.corporatestaffing.co.ke/job/instructional-designer-academic-programmes-job-strathmore-university-nairobi-kenya/,
2026-09-13 21:04 UTC,Corporate Staffing Kenya,Part-time Lectures – Instructional Design Job OUK,https://www.corporatestaffing.co.ke/job/part-time-lectures-instructional-design-job-ouk/,
2026-09-13 21:04 UTC,Corporate Staffing Kenya,Instructional Designers- FTC Job Britam,https://www.corporatestaffing.co.ke/job/instructional-designers-ftc-job-britam-ke/,
2026-09-13 21:04 UTC,Corporate Staffing Kenya,Part-time Lecturer -Instructional Design Job OUK,https://www.corporatestaffing.co.ke/job/part-time-lecturer-instructional-design-job-ouk/,
2026-09-13 21:04 UTC,Corporate Staffing Kenya,Instructional Design Job OUK,https://www.corporatestaffing.co.ke/job/instructional-design-job-ouk/,
2026-09-13 21:04 UTC,Corporate Staffing Kenya,Instructional Designers- FTC Job Britam,https://www.corporatestaffing.co.ke/job/instructional-designers-ftc-job-britam/,
2026-09-13 21:04 UTC,Corporate Staffing Kenya,Instructional Designer NGO Job DEAN (90-120k),https://www.corporatestaffing.co.ke/job/instructional-designer-ngo-job-dean-90-120k/,
2026-09-13 21:04 UTC,Corporate Staffing Kenya,Intern – Instructional Design & Communications NGO Job UN-Habitat,https://www.corporatestaffing.co.ke/job/intern-instructional-design-communications-ngo-job-un-habitat/,
2026-09-13 21:04 UTC,Corporate Staffing Kenya,Lecturers – Instructional Design Job OUK,https://www.corporatestaffing.co.ke/job/lecturers-instructional-design-job-ouk/,
2026-09-13 21:04 UTC,Corporate Staffing Kenya,"Read MoreLearning Design Job AMI, Nairobi, KenyaContinue",https://www.corporatestaffing.co.ke/job/learning-design-job-ami-nairobi-kenya/,
2026-09-13 21:04 UTC,Corporate Staffing Kenya,"Design, Digital Learning & Capacity Building Job IRES, Nairobi, Kenya",https://www.corporatestaffing.co.ke/job/design-digital-learning-capacity-building-job-ires-nairobi-kenya/,
2026-09-13 21:04 UTC,Corporate Staffing Kenya,Read MoreLearning Design & Solutions Lead NGO Job Natural StateContinue,https://www.corporatestaffing.co.ke/job/learning-design-solutions-lead-ngo-job-natural-state/,
2026-09-13 21:04 UTC,Corporate Staffing Kenya,Learning Experience Designer NGO Job F4E,https://www.corporatestaffing.co.ke/job/learning-experience-designer-ngo-job-f4e/,
2026-09-13 21:04 UTC,Corporate Staffing Kenya,"Director — Open, Distance & e-Learning at Umma University",https://www.corporatestaffing.co.ke/job/director-open-distance-e-learning-at-umma-university/,
2026-09-13 21:04 UTC,Corporate Staffing Kenya,"Director, Open, Distance & e-Learning Job PAC University Nairobi, Kenya",https://www.corporatestaffing.co.ke/job/director-open-distance-e-learning-job-pac-university-nairobi-kenya/,
2026-09-13 21:04 UTC,Corporate Staffing Kenya,Read MoreLearning & Development Job Burhani EngineersContinue,https://www.corporatestaffing.co.ke/job/learning-development-job-burhani-engineers/,
2026-09-13 21:04 UTC,Corporate Staffing Kenya,Read MoreLearning & Development Manager Job Peach CarsContinue,https://www.corporatestaffing.co.ke/job/learning-development-manager-job-peach-cars-ke/,
2026-09-13 21:04 UTC,Corporate Staffing Kenya,Read MoreLearning & Development Officer Job Safal GroupContinue,https://www.corporatestaffing.co.ke/job/learning-development-officer-job-safal-group/,
2026-09-13 21:04 UTC,Corporate Staffing Kenya,Read MoreLearning & Development Officer Job AA KenyaContinue,https://www.corporatestaffing.co.ke/job/learning-development-officer-job-aa-ke/,
2026-09-13 21:04 UTC,Corporate Staffing Kenya,E-learning Coordinator Job NIBS College,https://www.corporatestaffing.co.ke/job/e-learning-coordinator-job-nibs-college/,
2026-09-13 21:04 UTC,Corporate Staffing Kenya (LMS),"Learning Experience Design NGO Job Educate!, Nairobi, Kenya",https://www.corporatestaffing.co.ke/job/learning-experience-design-ngo-job-educate-nairobi-kenya/,
2026-09-13 21:27 UTC,UNjobs — Instructional Design,"International consultancy: Spanish translation quality review and content edition of EP Response e-learning courses 3 months Emergency Section (Remote), Panama City, Panama",https://unjobs.org/vacancies/1788899584018,"Remote/global — deadline not found, verify manually"
2026-09-13 21:27 UTC,UNjobs — Instructional Design,"Lead Learning Experience Designer, Remote, Home Based",https://unjobs.org/vacancies/1788148055161,"Remote/global — deadline not found, verify manually"
2026-09-13 21:27 UTC,UNjobs — Instructional Design,"Officer, Instructional Design and Teacher Support, Dhaka, Bangladesh",https://unjobs.org/vacancies/1787456647398,"Remote/global — deadline not found, verify manually"
2026-09-13 21:27 UTC,UNjobs — Instructional Design,"Instructional Design Intern, Elizabeth, United States",https://unjobs.org/vacancies/1780458752230,"Remote/global — deadline not found, verify manually"
2026-09-13 21:27 UTC,UNjobs — E-learning,"Asistente Tutor(a) E-Learning - NPSA4 Short-Term, Santiago, Chile",https://unjobs.org/vacancies/1789293124532,"Remote/global — deadline not found, verify manually"
2026-09-13 21:46 UTC,Consultancy,Web search (consultancy NGO),United Nations Jobs | Individual Consultancy - Instructional designer ...,https://www.unicc.org/working-with-icc/individual-consultancy-instructional-designer/,"Remote/global — deadline not found, verify manually"
2026-09-13 21:46 UTC,Consultancy,Web search (consultancy NGO),Consultant - Instructional design | UNITAR,https://unitar.org/vacancy-announcements/roster/consultant-instructional-design/60,"Remote/global — deadline not found, verify manually"
2026-09-13 21:46 UTC,Uncertain,Web search (consultancy NGO),"400 Nonprofit Instructional Design Jobs, Employment | Indeed",https://www.indeed.com/q-Nonprofit-Instructional-Design-jobs.html,"Remote/global — deadline not found, verify manually"
2026-09-13 21:46 UTC,Uncertain,Web search (consultancy NGO),Instructional Design | UNjobs,https://unjobs.org/themes/instructional-design,"Remote/global — deadline not found, verify manually"
2026-09-13 21:46 UTC,Consultancy,Web search (consultancy NGO),Instructional Design Consultants - NGO Jobs UN EU Charity Nonprofit ...,https://ngotenders.net/instructional-design-consultants/,"Remote/global — deadline not found, verify manually"
2026-09-13 21:46 UTC,Consultancy,Web search (consultancy NGO),"Skills: ""instructional design"" - UNjobs",https://unjobs.org/skills/instructional-design,"Remote/global — deadline not found, verify manually"
2026-09-13 21:46 UTC,Uncertain,Web search (consultancy NGO),Professional Organizations for Instructional Designers,https://christytuckerlearning.com/professional-organizations-for-instructional-designers/,"Remote/global — deadline not found, verify manually"
2026-09-13 21:46 UTC,Consultancy,Web search (vacancy NGO),"Vacancies for ""instructional design models"" - UNjobs",https://unjobs.org/skills/instructional-design-models,"Remote/global — deadline not found, verify manually"
2026-09-13 21:46 UTC,Uncertain,Web search (vacancy NGO),900 Instructional Design Nonprofit Jobs & Work | Indeed,https://www.indeed.com/q-Instructional-Design-Nonprofit-jobs.html,"Remote/global — deadline not found, verify manually"
2026-09-13 21:46 UTC,Uncertain,Web search (vacancy NGO),Non profit instructional design jobs - Jooble,https://jooble.org/jobs-non-profit-instructional-design,"Remote/global — deadline not found, verify manually"
2026-09-13 21:46 UTC,Uncertain,Web search (vacancy NGO),IRC Program Officer Instructional Design Jobs 2026,https://globaljobsatlas.com/2026/05/27/program-officer-2026/,"Remote/global — deadline not found, verify manually"
2026-09-13 21:46 UTC,Uncertain,Web search (grant education),Distance Education (DE) Grants & Instructional Design Assistance ...,https://fbnsdegrants.wordpress.ncsu.edu/,"Remote/global — deadline not found, verify manually"
2026-09-13 21:46 UTC,Uncertain,Web search (consultancy NGO),LMS & eLearning for NGOs & Nonprofits: Humentum,https://humentum.org/ngo-training/our-lms-and-elearning-services/,"Remote/global — deadline not found, verify manually"
2026-09-13 21:46 UTC,Uncertain,Web search (consultancy NGO),Our LMS & eLearning Services - Humentum,https://humentum.org/ngo-training/ngo-lms-and-elearning-services/,"Remote/global — deadline not found, verify manually"
2026-09-13 21:46 UTC,Uncertain,Web search (consultancy NGO),Dynamind eLearning | A different approach to e-Learning,https://dynamind-elearning.com/,"Remote/global — deadline not found, verify manually"
2026-09-13 21:46 UTC,Uncertain,Web search (consultancy NGO),E-learning platform for NGOs and Foundations - EvolMind,https://www.evolmind.com/en/organisations/ong-and-foundations/,"Remote/global — deadline not found, verify manually"
2026-09-13 21:46 UTC,Uncertain,Web search (consultancy NGO),LMS for Nonprofits & NGOs | Raccoon Gang,https://raccoongang.com/open-edx-services/lms-nonprofits/,"Remote/global — deadline not found, verify manually"
2026-09-13 21:46 UTC,Uncertain,Web search (vacancy NGO),Now Hiring: 800 Elearning Jobs | Indeed,https://www.indeed.com/q-Elearning-jobs.html,"Remote/global — deadline not found, verify manually"
2026-09-13 21:46 UTC,Uncertain,Web search (consultancy NGO),The 5 Best LMSs for Non-Profits: Empowering NGOs through Efficient ...,https://groundwork1.com/lms-blog/5-best-lms-non-profits,"Remote/global — deadline not found, verify manually"
2026-09-13 21:46 UTC,Uncertain,Web search (consultancy NGO),Best LMS for Nonprofits & NGOs in 2026: Top Platforms Compared,https://raccoongang.com/blog/best-lms-for-nonprofits/,"Remote/global — deadline not found, verify manually"
2026-09-13 21:46 UTC,Uncertain,Web search (consultancy NGO),Top 5 LMS Platforms for Nonprofits & NGOs - elearningtrendz,https://www.elearningtrendz.com/blog/top-lms-platforms-for-nonprofits-ngos/,"Remote/global — deadline not found, verify manually"
2026-09-13 21:46 UTC,Uncertain,Web search (consultancy NGO),"Moodle LMS Development, Hosting & Consulting | Raccoon Gang",https://raccoongang.com/moodle-services/,"Remote/global — deadline not found, verify manually"
2026-09-13 21:46 UTC,Uncertain,Web search (consultancy NGO),Best LMS for Nonprofits Software - 2026 Reviews & Pricing,https://www.softwareadvice.com/lms/nonprofit-lms-comparison/,"Remote/global — deadline not found, verify manually"
2026-09-13 21:46 UTC,Uncertain,Web search (consultancy NGO),13 Best Learning Management Systems for Nonprofits in 2026,https://www.ispring.com/knowledge-hub/the-10-best-lmss-for-nonprofits,"Remote/global — deadline not found, verify manually"
